semel,year,pop
4001,2003,5214.0
4001,2004,5315.0
4001,2005,5439.0
4001,2006,5559.0
4001,2007,5665.0
4001,2008,5718.0
4001,2009,5824.0
4001,2010,5927.0
4001,2011,5989.0
4001,2012,6124.0
4001,2013,6170.0
4001,2014,6238.0
4001,2015,6329.0
4001,2016,6431.0
4001,2017,6485.0
4001,2018,6528.0
4001,2019,6610.0
4001,2020,6665.0
4001,2021,6752.0
4001,2022,6805.0
4001,2023,6886.0
4001,2024,6983.0
4002,2003,240.0
4002,2004,247.0
4002,2005,256.0
4002,2006,264.0
4002,2007,272.0
4002,2008,245.0
4002,2009,250.0
4002,2010,255.0
4002,2011,251.0
4002,2012,277.0
4002,2013,302.0
4002,2014,328.0
4002,2015,350.0
4002,2016,382.0
4002,2017,375.0
4002,2018,401.0
4002,2019,433.0
4002,2020,464.0
4002,2021,484.0
4002,2022,496.0
4002,2023,606.0
4002,2024,593.0
4003,2003,273.0
4003,2004,267.0
4003,2005,269.0
4003,2006,274.0
4003,2007,271.0
4003,2008,262.0
4003,2009,271.0
4003,2010,277.0
4003,2011,306.0
4003,2012,308.0
4003,2013,318.0
4003,2014,323.0
4003,2015,338.0
4003,2016,372.0
4003,2017,381.0
4003,2018,392.0
4003,2019,398.0
4003,2020,416.0
4003,2021,442.0
4003,2022,470.0
4003,2023,546.0
4003,2024,621.0
4004,2003,233.0
4004,2004,239.0
4004,2005,285.0
4004,2006,306.0
4004,2007,312.0
4004,2008,311.0
4004,2009,312.0
4004,2010,307.0
4004,2011,312.0
4004,2012,319.0
4004,2013,328.0
4004,2014,347.0
4004,2015,357.0
4004,2016,387.0
4004,2017,400.0
4004,2018,421.0
4004,2019,434.0
4004,2020,455.0
4004,2021,478.0
4004,2022,492.0
4004,2023,520.0
4004,2024,544.0
4005,2003,1262.0
4005,2004,1262.0
4005,2005,1273.0
4005,2006,1312.0
4005,2007,1369.0
4005,2008,1337.0
4005,2009,1353.0
4005,2010,1362.0
4005,2011,1457.0
4005,2012,1236.0
4005,2013,1280.0
4005,2014,1719.0
4005,2015,1739.0
4005,2016,1877.0
4005,2017,1904.0
4005,2018,2057.0
4005,2019,2055.0
4005,2020,2007.0
4005,2021,2071.0
4005,2022,2175.0
4005,2023,1938.0
4005,2024,1956.0
4006,2003,494.0
4006,2004,501.0
4006,2005,524.0
4006,2006,517.0
4006,2007,526.0
4006,2008,630.0
4006,2009,649.0
4006,2010,660.0
4006,2011,655.0
4006,2012,692.0
4006,2013,707.0
4006,2014,722.0
4006,2015,763.0
4006,2016,796.0
4006,2017,819.0
4006,2018,784.0
4006,2019,799.0
4006,2020,842.0
4006,2021,863.0
4006,2022,878.0
4006,2023,961.0
4006,2024,979.0
4007,2003,312.0
4007,2004,344.0
4007,2005,347.0
4007,2006,352.0
4007,2007,353.0
4007,2008,438.0
4007,2009,448.0
4007,2010,466.0
4007,2011,525.0
4007,2012,549.0
4007,2013,566.0
4007,2014,570.0
4007,2015,601.0
4007,2016,662.0
4007,2017,668.0
4007,2018,705.0
4007,2019,745.0
4007,2020,770.0
4007,2021,802.0
4007,2022,860.0
4007,2023,855.0
4007,2024,895.0
4008,2003,291.0
4008,2004,306.0
4008,2005,309.0
4008,2006,340.0
4008,2007,357.0
4008,2008,375.0
4008,2009,381.0
4008,2010,372.0
4008,2011,395.0
4008,2012,390.0
4008,2013,385.0
4008,2014,401.0
4008,2015,441.0
4008,2016,472.0
4008,2017,488.0
4008,2018,515.0
4008,2019,557.0
4008,2020,559.0
4008,2021,573.0
4008,2022,596.0
4008,2023,652.0
4008,2024,734.0
4009,2003,230.0
4009,2004,230.0
4009,2005,229.0
4009,2006,230.0
4009,2007,225.0
4009,2008,191.0
4009,2009,189.0
4009,2010,196.0
4009,2011,198.0
4009,2012,203.0
4009,2013,222.0
4009,2014,232.0
4009,2015,256.0
4009,2016,249.0
4009,2017,255.0
4009,2018,263.0
4009,2019,276.0
4009,2020,305.0
4009,2021,316.0
4009,2022,343.0
4009,2023,435.0
4009,2024,452.0
4010,2003,96.0
4010,2004,93.0
4010,2005,95.0
4010,2006,103.0
4010,2007,103.0
4010,2008,87.0
4010,2009,85.0
4010,2010,84.0
4010,2011,90.0
4010,2012,93.0
4010,2013,104.0
4010,2014,109.0
4010,2015,118.0
4010,2016,126.0
4010,2017,131.0
4010,2018,139.0
4010,2019,155.0
4010,2020,155.0
4010,2021,176.0
4010,2022,192.0
4010,2023,292.0
4010,2024,314.0
4011,2003,344.0
4011,2004,337.0
4011,2005,357.0
4011,2006,418.0
4011,2007,463.0
4011,2008,410.0
4011,2009,443.0
4011,2010,491.0
4011,2011,528.0
4011,2012,583.0
4011,2013,583.0
4011,2014,601.0
4011,2015,633.0
4011,2016,681.0
4011,2017,700.0
4011,2018,714.0
4011,2019,725.0
4011,2020,740.0
4011,2021,811.0
4011,2022,876.0
4011,2023,1023.0
4011,2024,1079.0
4012,2003,347.0
4012,2004,379.0
4012,2005,384.0
4012,2006,414.0
4012,2007,462.0
4012,2008,454.0
4012,2009,446.0
4012,2010,467.0
4012,2011,501.0
4012,2012,528.0
4012,2013,530.0
4012,2014,526.0
4012,2015,503.0
4012,2016,513.0
4012,2017,536.0
4012,2018,531.0
4012,2019,532.0
4012,2020,515.0
4012,2021,502.0
4012,2022,499.0
4012,2023,486.0
4012,2024,475.0
4013,2003,249.0
4013,2004,258.0
4013,2005,254.0
4013,2006,243.0
4013,2007,238.0
4013,2008,277.0
4013,2009,296.0
4013,2010,306.0
4013,2011,284.0
4013,2012,276.0
4013,2013,291.0
4013,2014,304.0
4013,2015,321.0
4013,2016,335.0
4013,2017,352.0
4013,2018,343.0
4013,2019,343.0
4013,2020,349.0
4013,2021,369.0
4013,2022,376.0
4013,2023,366.0
4013,2024,374.0
4014,2003,47.0
4014,2005,48.0
4014,2006,80.0
4014,2007,111.0
4014,2008,170.0
4014,2009,218.0
4014,2010,236.0
4014,2011,265.0
4014,2012,311.0
4014,2013,365.0
4014,2014,560.0
4014,2015,567.0
4014,2016,688.0
4014,2017,702.0
4014,2018,686.0
4014,2019,713.0
4014,2020,871.0
4014,2021,910.0
4014,2022,958.0
4014,2023,750.0
4014,2024,770.0
4015,2003,938.0
4015,2004,971.0
4015,2005,991.0
4015,2006,1021.0
4015,2007,1036.0
4015,2008,918.0
4015,2009,930.0
4015,2010,968.0
4015,2011,965.0
4015,2012,1010.0
4015,2013,1031.0
4015,2014,1047.0
4015,2015,1040.0
4015,2016,1024.0
4015,2017,1049.0
4015,2018,1070.0
4015,2019,1085.0
4015,2020,1120.0
4015,2021,1129.0
4015,2022,1152.0
4015,2023,1258.0
4015,2024,1244.0
4017,2003,251.0
4017,2004,251.0
4017,2005,255.0
4017,2006,271.0
4017,2007,286.0
4017,2008,278.0
4017,2009,278.0
4017,2010,291.0
4017,2011,310.0
4017,2012,343.0
4017,2013,365.0
4017,2014,359.0
4017,2015,368.0
4017,2016,422.0
4017,2017,439.0
4017,2018,445.0
4017,2019,457.0
4017,2020,447.0
4017,2021,472.0
4017,2022,518.0
4017,2023,492.0
4017,2024,512.0
4019,2003,47.0
4019,2004,44.0
4019,2005,52.0
4019,2006,56.0
4019,2007,65.0
4019,2008,120.0
4019,2009,112.0
4019,2010,111.0
4019,2011,108.0
4019,2012,111.0
4019,2013,151.0
4019,2014,198.0
4019,2015,211.0
4019,2016,244.0
4019,2017,266.0
4019,2018,287.0
4019,2019,299.0
4019,2020,289.0
4019,2021,324.0
4019,2022,336.0
4019,2023,355.0
4019,2024,379.0
4021,2003,363.0
4021,2004,398.0
4021,2005,397.0
4021,2006,436.0
4021,2007,452.0
4021,2008,529.0
4021,2009,537.0
4021,2010,532.0
4021,2011,557.0
4021,2012,572.0
4021,2013,577.0
4021,2014,636.0
4021,2015,662.0
4021,2016,700.0
4021,2017,690.0
4021,2018,703.0
4021,2019,707.0
4021,2020,740.0
4021,2021,728.0
4021,2022,723.0
4021,2023,763.0
4021,2024,804.0
4022,2003,168.0
4022,2004,192.0
4022,2005,226.0
4022,2006,215.0
4022,2007,204.0
4022,2008,213.0
4022,2009,218.0
4022,2010,221.0
4022,2011,222.0
4022,2012,226.0
4022,2013,233.0
4022,2014,257.0
4022,2015,264.0
4022,2016,272.0
4022,2017,279.0
4022,2018,283.0
4022,2019,280.0
4022,2020,289.0
4022,2021,309.0
