שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2024,סך הכל ישראלים 2024,יהודים ואחרים,ערבים,זרים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,שם יישוב באנגלית,שם אשכול רשויות מקומיות,סמל רשות מקומית,שם רשות מקומית,סמל סוג רשות מקומית,semel
אבני איתן,4011,AVNE ETAN,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,1079.0,983.0,983.0,,96.0,1978,310,2.0,271966747749.0,381.0,224.0,10004579.0,2024,Avne Etan,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4011
אודם,4010,ODEM,2,הצפון,29,גולן,292.0,71.0,מועצה אזורית גולן,,1.0,314.0,311.0,311.0,,3.0,1976,320,6.0,270283788804.0,1050.0,224.0,10004579.0,2024,Odem,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4010
אורטל,4013,ORTAL,2,הצפון,29,גולן,292.0,71.0,מועצה אזורית גולן,,1.0,374.0,341.0,341.0,,33.0,1978,330,15.0,271203776993.0,885.0,224.0,10004579.0,2024,Ortal,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4013
אל -רום,4003,EL-ROM,2,הצפון,29,גולן,292.0,71.0,מועצה אזורית גולן,,1.0,621.0,592.0,581.0,11.0,29.0,1971,330,15.0,272320787405.0,1049.0,224.0,10004579.0,2024,El-Rom,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4003
אלוני הבשן,4017,ALLONE HABASHAN,2,הצפון,29,גולן,292.0,71.0,מועצה אזורית גולן,,1.0,512.0,500.0,500.0,,12.0,1981,320,2.0,278703772277.0,962.0,224.0,10004579.0,2024,Allone HaBashan,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4017
אלי-עד,4002,ELI-AD,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,593.0,578.0,578.0,,15.0,1968,310,1.0,269140745726.0,367.0,224.0,10004579.0,2024,Eli-Ad,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4002
אניעם,4012,ANI'AM,2,הצפון,29,גולן,293.0,71.0,מועצה אזורית גולן,,1.0,475.0,474.0,474.0,,1.0,1978,310,1.0,269544762605.0,426.0,224.0,10004579.0,2024,Ani'am,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4012
אפיק,4301,AFIQ,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,402.0,386.0,386.0,,16.0,1967,330,15.0,265987742739.0,339.0,224.0,10004579.0,2024,Afiq,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4301
בוקעאתא,4001,BUQ'ATA,2,הצפון,29,גולן,292.0,99.0,מועצה מקומית,,2.0,6983.0,6966.0,,6966.0,17.0,,280,,273000789725.0,1096.0,256.0,10004579.0,2024,Buq'ata,אשכול רשויות גליל מזרחי,4001.0,בוקעאתא,2,4001
בני יהודה,4015,BENE YEHUDA,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,1244.0,1229.0,1229.0,,15.0,1972,370,13.0,264881744942.0,344.0,224.0,10004579.0,2024,Bene Yehuda,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4015
