name_en,name_he,lat,lon,pop_1997,pop_2005,pop_2016,growth_1997_2016,cagr_pct
Ramot Alon,רמות אלון,31.8169,35.1949,37167.0,40367.0,46150.0,8983.0,1.15
Pisgat Ze'ev,פסגת זאב,31.8227,35.2449,31150.0,41208.0,41930.0,10780.0,1.58
Gilo,גילה,31.7332,35.189,26604.0,27258.0,30900.0,4296.0,0.79
Neve Ya'akov,נווה יעקב,31.839,35.2411,19960.0,20156.0,22350.0,2390.0,0.6
Har Homa,הר חומה,31.7234,35.2221,,4234.0,20660.0,,
Ramat Shlomo,רמת שלמה,31.8105,35.2179,6098.0,14318.0,14770.0,8672.0,4.77
Talpiot East,תלפיות מזרח,31.7488,35.2321,13348.0,12158.0,14450.0,1102.0,0.42
French Hill,הגבעה הצרפתית (גבעת שפירא),31.8032,35.2379,8599.0,6589.0,8620.0,21.0,0.01
Ma'alot Dafna,מעלות דפנה,31.7968,35.2263,3666.0,3675.0,3240.0,-426.0,-0.65
Ramat Eshkol,רמת אשכול,31.8011,35.2249,6341.0,6164.0,3180.0,-3161.0,-3.57
Jewish Quarter,הרובע היהודי,31.7749,35.2316,2282.0,2476.0,3020.0,738.0,1.49
