idx,decision_date,name_he,region_he,region_en,decision_type
1,2023-02-12,אביגיל,חברון,Hebron,outpost_legalization
2,2023-02-12,בית חגלה,יריחו,Jericho,outpost_legalization
3,2023-02-12,גבעות הרואה,שכם,Nablus,outpost_legalization
4,2023-02-12,גבעת ארנון,שכם,Nablus,outpost_legalization
5,2023-02-12,מלאכי השלום,שכם,Nablus,outpost_legalization
6,2023-02-12,מצפה יהודה,ירושלים,Jerusalem,outpost_legalization
7,2023-02-12,עשהאל,חברון,Hebron,outpost_legalization
8,2023-02-12,שדה בועז,בית לחם,Bethlehem,outpost_legalization
9,2023-02-12,שחרית,קלקיליה,Qalqilya,outpost_legalization
10,2024-06-27,גבעת אסף,רמאללה,Ramallah,outpost_legalization
11,2024-06-27,נחל חלץ,בית לחם,Bethlehem,outpost_legalization
12,2024-06-27,אדוריים,חברון,Hebron,outpost_legalization
13,2024-06-27,שדה אפרים,רמאללה,Ramallah,outpost_legalization
14,2024-06-27,אביתר,שכם,Nablus,outpost_legalization
15,2025-03-22,טל מנשה,ג'נין,Jenin,neighborhood_to_settlement
16,2025-03-22,ברוש,בקעת הירדן,Jordan Valley,neighborhood_to_settlement
17,2025-03-22,נופי נחמיה,שכם,Nablus,neighborhood_to_settlement
18,2025-03-22,שבות רחל,שכם,Nablus,neighborhood_to_settlement
19,2025-03-22,לשם,קלקיליה,Qalqilya,neighborhood_to_settlement
20,2025-03-22,חרשה,רמאללה,Ramallah,neighborhood_to_settlement
21,2025-03-22,כרם רעים,רמאללה,Ramallah,neighborhood_to_settlement
22,2025-03-22,נריה,רמאללה,Ramallah,neighborhood_to_settlement
23,2025-03-22,אלון,ירושלים,Jerusalem,neighborhood_to_settlement
24,2025-03-22,מגרון,רמאללה,Ramallah,neighborhood_to_settlement
25,2025-03-22,איבי הנחל,בית לחם,Bethlehem,neighborhood_to_settlement
26,2025-03-22,אבנת,בקעת הירדן,Jordan Valley,neighborhood_to_settlement
27,2025-03-22,גבעות,בית לחם,Bethlehem,neighborhood_to_settlement
28,2025-05-18,עיר התמרים,יריחו,Jericho,outpost_legalization
29,2025-05-18,חוות יאיר,קלקיליה,Qalqilya,outpost_legalization
30,2025-05-18,עטרות אדר,רמאללה,Ramallah,new_settlement
31,2025-05-18,בית חורון צפון,רמאללה,Ramallah,new_settlement
32,2025-05-18,ענבר,רמאללה,Ramallah,outpost_legalization
33,2025-05-18,אחיה,שכם,Nablus,outpost_legalization
34,2025-05-18,עדי עד,שכם,Nablus,outpost_legalization
35,2025-05-18,נופי פרת,ירושלים,Jerusalem,neighborhood_to_settlement
36,2025-05-18,מחנה גדי,בקעת הירדן,Jordan Valley,outpost_legalization
37,2025-05-18,גבעונית,בקעת הירדן,Jordan Valley,outpost_legalization
38,2025-05-18,תבץ (גודר,בקעת הירדן,Jordan Valley,outpost_legalization
39,2025-05-18,מעלות חלחול,חברון,Hebron,new_settlement
40,2025-05-18,אפקה,חברון,Hebron,outpost_legalization
41,2025-05-18,יונדב,חברון,Hebron,outpost_legalization
42,2025-05-18,מצפה זיו,חברון,Hebron,new_settlement
43,2025-05-18,רחבעם,שכם,Nablus,new_settlement
44,2025-05-18,קדם ערבה,יריחו,Jericho,outpost_legalization
45,2025-05-18,חומש,שכם,Nablus,outpost_legalization
