"Name","Name Hebrew","DB_ID","Settlement Type","Established Year","Established","x (ITM)","y (ITM)","x (UTM)","y(UTM)","Nearest Settlemet","District","Municipality","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nof Nesher - Talya Farm","נוף נשר - חוות טליה","300","Outpost","1996","January 1996","211669","586067","31.366039","35.12189","Yatir (aka Metzadot Yehuda)","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hanekuda","הנקודה","255","Outpost","1996","","230291","675127","32.169194","35.318612","Itamar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Har Hemed","הר חמד","257","Outpost","1996","","214501","681877","32.230107","35.151163","Kedumim","Qalqiliya","Kedumim","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nahalat Ami","נחלת עמי","1209","Outpost","1996","","203230","594162","31.438937","35.033134","Otniel","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ma'ale Yisrael","מעלה ישראל","283","Outpost","1997","","210056","669127","32.115099","35.10414","Barqan","Salfit","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ahiya","אחיה","224","Outpost","1997","July 1997","231132","663076","32.060513","35.327384","Shvut Rachel","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Givat Barkai - Mizpe Jericho East","גבעת ברקאי - מצפה יריחו מזרח","291","Outpost","1997","","238224","636752","31.823026","35.401979","Mitzpe Jericho","Jericho","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bat Ayin East","בת עין מזרח","235","Outpost","1998","January 1998","210358","617874","31.65289","35.107815","Bat Ayin","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lehavat Yitzhar","להבת יצהר","273","Outpost","1998","January 1998","223456","674458","32.163212","35.246139","Yizhar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mitzpe Yair","מצפה יאיר","289","Outpost","1998","January 1998","212890","587974","31.383241","35.134714","Susiya","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nof Harim","נוף הרים","299","Outpost","1998","January 1998","226555","664744","32.075592","35.27893","Eli","Nablus","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Givat Hahish","גבעת החי""ש","246","Outpost","1998","October 1998","212588","618132","31.655233","35.131328","Alon Shvut","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bracha A","ברכה א","352","Outpost","1998","December 1998","224270","677743","32.192829","35.254789","Bracha","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yanukh Hill 836","גבעת ינוח 836","241","Outpost","1998","December 1998","234248","674719","32.165477","35.360554","Itamar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mount Gideon Hill 851","הר גדעון גבעה 851","242","Outpost","1998","December 1998","231954","674766","32.166424","35.337099","Itamar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gva'ot Olam","גבעות עולם","243","Outpost","1998","December 1998","233432","674105","32.159946","35.351898","Itamar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Givat Harel","גבעת הראל","247","Outpost","1998","December 1998","226095","662860","32.058602","35.274044","Shilo","Nablus","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hahar","ההר","252","Outpost","1998","December 1998","208183","688223","32.287291","35.084059","Avne Hefez","Tul Karem","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adei Ad","עדי עד","306","Outpost","1998","December 1998","231835","660822","32.04018","35.334802","Shvut Rachel","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hayovel","היובל","254","Outpost","1998","","227025","664223","32.070888","35.283895","Eli","Nablus","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ahavat Hayim","אהבת חיים","222","Outpost","1999","January 1999","232451","651687","31.957796","35.341201","kochav Hashahar","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alonei Shilo","אלוני שילה","226","Outpost","1999","January 1999","211603","674483","32.163411","35.120487","Karnei Shomron","Qalqiliya","Karnei Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arnon Hill 777","גבעת ארנון 777","239","Outpost","1999","January 1999","234980","673546","32.154887","35.368305","Itamar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ma'ale Hagit","מעלה חגית","282","Outpost","1999","January 1999","232035","639840","31.850959","35.336649","Maale Michmash","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sneh Ya'akov","סנה יעקב","304","Outpost","1999","January 1999","224849","676060","32.177646","35.26092","Bracha","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alumot Farm Hill 782","חוות אלומות - גבעה 782","240","Outpost","1999","May 1999","231542","674055","32.159516","35.331865","Itamar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Magen Dan","מגן דן","276","Outpost","1999","May 1999","202154","668450","32.108897","35.020413","Elqana","Qalqiliya","Elkana","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shalhevet Farm","אחוזת שלהבת","223","Outpost","1999","","221226","675425","32.171931","35.222501","Yizhar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Skali's Farm - Porat Yosef","החוה של סקאלי - פורת יוסף","329","Outpost","1999","","234783","680367","32.216403","35.366319","Elon Moreh","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mor Farm","חוות מור","262","Outpost","1999","","197051","586579","31.37046","34.968229","Tene","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ma'aleh Shlomo","מעלה שלמה","285","Outpost","1999","","232792","650752","31.949352","35.344796","kochav Hashahar","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Esh Kodesh","אש קודש","229","Outpost","2000","December 2000","231925","663549","32.064772","35.335783","Shvut Rachel","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Emek Dotan Farm","מעוז צבי (חוות עמק דותן)","281","Outpost","2001","January 2001","215729","703380","32.424023","35.164113","Mevo Dotan","Jenin","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mitzpe Ha'ai","מצפה העי","288","Outpost","2001","January 2001","221915","644785","31.895618","35.229731","Psagot","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tko'a B-C","תקוע ב-ג","318","Outpost","2001","January 2001","221992","616935","31.644457","35.230475","Tqoa","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Neve Erez","נווה ארז","297","Outpost","2001","February 2001","229546","641311","31.864246","35.310363","Maale Michmash","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Derech Ha'avot","דרך האבות","250","Outpost","2001","March 2001","212894","619197","31.664842","35.13455","Elazar","Bethlehem","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yair Farm","חוות יאיר","261","Outpost","2001","April 2001","210163","672515","32.145652","35.105233","Yakir","Salfit","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mitzpe Kramim","מצפה כרמים","292","Outpost","2001","May 2001","233913","651716","31.958034","35.356661","kochav Hashahar","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jabel Artis","ג'בל ע'רטיס","237","Outpost","2001","June 2001","221290","649766","31.940537","35.223137","Beit El","Ramallah","Beit El","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mul Nevo Beit Hogla","מול נבו בית חגלה","278","Outpost","2001","August 2001","248161","636527","31.820793","35.506933","Na'ama","Jericho","Jordan Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Avigayil","אביגיל","221","Outpost","2001","December 2001","213432","590109","31.402505","35.140399","Maon","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tkuma Hill 725","גבעת תקומה 725","238","Outpost","2001","December 2001","222730","673832","32.157564","35.238442","Yizhar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Susiya - The Rujm Neighborhood/Givat Hachlil","סוסיא צפון מערב - שכונת הרוג'ום/גבעת חכליל","303","Outpost","2001","December 2001","210457","589246","31.394702","35.109122","Susiya","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tzur Shalem","צור שלם","312","Outpost","2001","","209316","612644","31.605709","35.096885","Karmei Zur","Hebron","Gush Etzion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Beit El East","בית אל מזרח","231","Outpost","2001","","222098","650400","31.946258","35.23168","Beit El","Ramallah","Beit El","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Heruti","חרותי","266","Outpost","2001","","217683","637795","31.832577","35.185006","Givat Zeev","Jerusalem","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maon Farm","חוות מעון","263","Outpost","2001","","215264","590806","31.408795","35.15966","Ma'on","Hebron","Har Hebron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yeshuv Hada't","ישוב הדעת - הבית האדום","251","Outpost","2001","","232332","661404","32.045896","35.340477","Shilo","Ramallah","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shaked Farm","חוות שקד","331","Outpost","2002","","222889","674399","32.162677","35.240127","Yizhar","Nablus","Shomron","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kochav Ya'akov West","כוכב יעקב מערב","270","Outpost","2002","January 2002","222270","643419","31.883295","35.233486","Kochav Ya'akov","Jerusalem","Binyamin","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
