name_he,se_cluster,se_rank,se_index,he_join_key,settlement_id
נווה מדבר,1.0,1.0,-2.86462268261514,נווה מדבר,
ערערה-בנגב,1.0,2.0,-2.45325323192476,ערערה בנגב,
תל שבע,1.0,3.0,-2.40986269433636,תל שבע,
אל קסום,1.0,5.0,-2.31658911394055,אל קסום,
כסיפה,1.0,4.0,-2.29965869963591,כסיפה,
שגב-שלום,1.0,8.0,-2.24171508440283,שגב שלום,
מודיעין עילית,1.0,6.0,-2.23495841269336,מודיעין עלית,73.0
חורה,1.0,7.0,-2.22020862332784,חורה,
לקיה,2.0,9.0,-1.99574811784224,לקיה,
ביתר עילית,2.0,10.0,-1.91954367084584,ביתר עלית,24.0
רהט,2.0,11.0,-1.84544793082865,רהט,
עמנואל,2.0,12.0,-1.73859499671203,עמנואל,113.0
רכסים,2.0,13.0,-1.70853874246549,רכסים,
בני ברק,2.0,14.0,-1.62747909879985,בני ברק,
בית שמש,2.0,18.0,-1.48493135632558,בית שמש,
כפר מנדא,2.0,16.0,-1.45297251582064,כפר מנדא,
אלעד,2.0,19.0,-1.45199767655184,אלעד,
ג'סר א-זרקא,2.0,15.0,-1.44755159362247,ג סר א זרקא,
עילוט,2.0,17.0,-1.40436782836245,עילוט,
צפת,2.0,23.0,-1.35090011679565,צפת,
אום אל-פחם,2.0,20.0,-1.26558136987645,אום אל פחם,
יבנאל,2.0,28.0,-1.23602910265812,יבנאל,
אל - בטוף,2.0,21.0,-1.22692578357707,אל בטוף,
ביר אל-מכסור,2.0,22.0,-1.20316526458395,ביר אל מכסור,
ירושלים,2.0,31.0,-1.19647773464424,ירושלים,
קריית יערים,2.0,26.0,-1.17420140253891,קריית יערים,
משהד,3.0,24.0,-1.12699252625568,משהד,
עין מאהל,3.0,25.0,-1.10285276637696,עין מאהל,
כפר כנא,3.0,32.0,-1.06350606362126,כפר כנא,
בועיינה-נוג'ידאת,3.0,34.0,-1.0625732984864,בועיינה נוג ידאת,
מעלה עירון,3.0,27.0,-1.05759281070729,מעלה עירון,
זרזיר,3.0,35.0,-1.04320032660218,זרזיר,
נחף,3.0,29.0,-1.01427778982551,נחף,
ריינה,3.0,39.0,-1.01321698634153,ריינה,
שעב,3.0,30.0,-1.00374991522549,שעב,
בענה,3.0,36.0,-0.986553209879586,בענה,
ע'ג'ר,3.0,40.0,-0.984989939634897,ע ג ר,
"בסמ""ה",3.0,33.0,-0.959354343601139,בסמ ה,
ג'לג'וליה,3.0,41.0,-0.946825029905484,ג לג וליה,
מצפה רמון,3.0,59.0,-0.922174759991749,מצפה רמון,
מסעדה,3.0,37.0,-0.918827784817727,מסעדה,
קריית ארבע,3.0,46.0,-0.904958834882648,קריית ארבע,
כעביה-טבאש-חג'אג'רה,3.0,44.0,-0.900669066121066,כעביה טבאש חג אג רה,
יפיע,3.0,47.0,-0.892689380207931,יפיע,
בסמת טבעון,3.0,48.0,-0.88466172758432,בסמת טבעון,
בוקעאתא,3.0,38.0,-0.884238230521226,בוקעאתא,
ערד,3.0,70.0,-0.875686453986326,ערד,
טובא-זנגרייה,3.0,43.0,-0.866599121124261,טובא זנגרייה,
עין קנייא,3.0,52.0,-0.817201059522878,עין קנייא,
ג'דיידה-מכר,3.0,50.0,-0.809201210611647,ג דיידה מכר,
טורעאן,3.0,54.0,-0.803302815468745,טורעאן,
כסרא-סמיע,3.0,65.0,-0.802430851843577,כסרא סמיע,
מגאר,3.0,56.0,-0.792888220115192,מגאר,
בוסתן אל -מרג',3.0,45.0,-0.779897561422483,בוסתן אל מרג,
