settlement_id,built_up_dunams,ocha_name
1,321.0,Avnei Hefetz
2,36.1,Ovnat
3,99.9,Adora
4,1267.3,Oranit
5,854.0,Itamar
6,179.7,Alon
8,481.7,Alon Shvut
9,101.8,Almog
11,329.3,Elazar
13,924.7,Elkana
14,136.3,Asfar
17,2566.4,Ariel
18,93.0,Eshkolot
19,779.5,Beit El
21,828.2,Beit Arie
22,59.1,Beit Ha'arava
25,193.5,Bqa'ot
26,84.7,Bruchin
27,285.6,Bracha
28,358.7,Barkan
29,413.1,Bat Ayin
30,463.7,Geva Binyamin Adam
32,182.2,Givo'n Hachadasha
34,1109.6,"Giva't Ze'ev
"
35,110.5,Gitit
36,359.9,Gilgal
38,303.1,Dolev
39,907.7,Har Adar
42,127.4,Vered Yericho
44,173.3,Hagai
46,165.0,Hinanit
47,381.0,Halamish
48,87.9,Chemdat
49,158.9,Hamra
50,143.6,Hermesh
51,753.1,Hashmonaim
54,188.8,Tene
55,107.1,Yitav
56,311.9,Yafit
58,334.1,Yakir
59,385.0,Kochav Hashahar
62,376.9,Kfar Haoranim
63,361.1,Kfar Etzion
65,153.4,Karmei Zur
67,196.4,Mevo Dotan
68,654.3,Mevo Horon
70,188.7,Migdal Oz
71,67.6,Migdalim
73,2083.9,Modi'in Illit
74,257.3,Mechola
75,136.7,Mechora
77,3399.9,Maale Adumim
78,535.7,Maale Efrayim
79,172.5,Ma'ale Levona
80,264.6,Maale Michmash
82,250.6,Maale Shomron
85,443.8,Mitzpe Yericho
86,91.8,Mitzpe Shalem
88,44.0,Maskiyot
89,2083.9,Modi'in Illit
91,280.9,Neve Daniel
92,665.4,Kfar Adumim
93,241.4,Nofim
96,97.8,Nahliel
97,265.8,Nili
99,121.3,Niran
101,133.7,Na'ama
103,407.1,Netiv Ha'gdud
104,313.5,Susya
105,324.0,Salit
106,109.9,Sansana
108,182.4,Ateret
109,791.1,Eli
110,268.7,Alei Zahav
114,216.6,Einav
115,713.5,Ofra
116,166.3,Etz Efraim
117,175.9,Otniel
118,282.7,Pduel
119,114.9,Pnei Hever
120,237.4,Psagot
121,583.1,Petzael
122,315.0,Tzufim
124,272.9,Kedar
125,226.9,Kalia
127,161.8,Kiryat Netafim
129,276.3,Rosh Tzurim
130,313.1,Revava
131,144.9,Ro'i
132,34.0,Rotem
133,79.0,Rehelim
134,135.8,Reihan
135,199.2,Rimonim
137,339.7,Shavei Shomron
138,356.4,Shadmot Mechola
139,660.1,Shilo
140,118.7,Shim'a
143,920.7,Sha'arei Tikva
144,235.5,Shaked
145,285.4,Tomer
146,101.2,Telem
149,82.1,Gilad Farm
155,847.3,Kiryat Arba
156,847.3,Kiryat Arba
159,2004.2,
160,1676.4,
162,966.0,
163,636.8,
164,805.4,
165,491.0,
166,355.5,
167,279.7,
168,142.6,
171,46.6,Har Hemed
173,39.3,Maale Yisrael
174,62.4,Esh Kodesh
178,56.2,Mitzpe Yair
181,285.6,Bracha
183,854.0,Itamar
184,854.0,Itamar
187,264.7,Adei Ad
190,32.1,Alonei Shilo
194,854.0,Itamar
196,356.5,Yitzhar
200,43.5,Ahiya
208,779.5,Beit El
216,218.7,Maon
223,665.4,Kfar Adumim
232,847.3,Kiryat Arba
239,713.5,Ofra
252,583.8,Elon More
255,272.9,Kedar
259,356.5,Yitzhar
