settlement_id,name_en,name_he,type,source,regional_council,urban_pattern,dist_gl_km,elevation,year_established,pn_db_id,bt_gisid,lon,lat,status,cbs_semel,he_join_key
1,Avnei Hefetz,אבני חפץ,Settlement,Peace Now + B'Tselem,Shomron,Urban,4.2,200.0,1990.0,1.0,3793.0,35.0734,32.2859,active,,אבני חפץ
2,Ovnat,אבנת,Settlement,Peace Now + B'Tselem,Megilot,Community,21.0,-330.0,1983.0,2.0,3786.0,35.436,31.6788,active,,אבנת
3,Adora,אדורה,Settlement,Peace Now + B'Tselem,Har Hebron,Community,6.4,650.0,1984.0,3.0,3759.0,35.0165,31.5518,active,,אדורה
4,Oranit,אורנית,Settlement,Peace Now + B'Tselem,Oranit,Urban,0.0,140.0,1985.0,4.0,3760.0,34.9909,32.1305,active,,אורנית
5,Itamar,איתמר,Settlement,Peace Now + B'Tselem,Shomron,Community,28.0,660.0,1984.0,5.0,3762.0,35.3023,32.1761,active,,איתמר
6,Alon,אלון,Settlement,Peace Now + B'Tselem,Binyamin,Community,12.6,,1990.0,6.0,,35.3527341,31.8330401,active,,אלון
7,Elon More,אלון מורה,Settlement,Peace Now + B'Tselem,Shomron,Community,22.0,635.0,1979.0,7.0,3579.0,35.3334,32.2331,active,,אלון מורה
8,Alon Shvut,אלון שבות,Settlement,Peace Now + B'Tselem,Gush Etzion,Community,4.6,965.0,1970.0,8.0,3604.0,35.1245,31.6553,active,,אלון שבות
9,Almog,אלמוג,Settlement,Peace Now + B'Tselem,Megilot,Kibbutz,20.6,-270.0,1977.0,9.0,3556.0,35.4604,31.7895,active,,אלמוג
10,Elmatan,אלמתן,Settlement,Peace Now,Shomron,,,,,228.0,,,,active,,אלמתן
11,El'azar,אלעזר,Settlement,Peace Now + B'Tselem,Gush Etzion,Community,5.5,910.0,1975.0,10.0,3618.0,35.1419,31.6598,active,,אלעזר
12,Alfei Menashe,אלפי מנשה,Settlement,Peace Now + B'Tselem,Alfei Menashe,Urban,2.8,200.0,1983.0,11.0,3750.0,35.0127,32.173,active,,אלפי מנשה
13,Elkana,אלקנה,Settlement,Peace Now + B'Tselem,Elkana,Urban,3.1,270.0,1977.0,12.0,3560.0,35.0342,32.1115,active,,אלקנה
14,Asfar,אספר (מיצד),Settlement,Peace Now + B'Tselem,Gush Etzion,Community,14.5,940.0,1983.0,13.0,3754.0,35.1889,31.5866,active,,אספר מיצד
15,Efrat,אפרת,Settlement,Peace Now + B'Tselem,Efrata,Community,6.5,910.0,1980.0,14.0,3650.0,35.1549,31.6607,active,,אפרת
16,Argaman,ארגמן,Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav,23.7,-180.0,1968.0,15.0,3598.0,35.5221,32.172,active,,ארגמן
17,Ariel,אריאל,Settlement,Peace Now + B'Tselem,Ariel,Urban,16.1,560.0,1978.0,16.0,3570.0,35.1871,32.1045,active,,אריאל
18,Eshkolot,אשכולות,Settlement,Peace Now + B'Tselem,Har Hebron,Community,1.8,600.0,1982.0,17.0,3722.0,34.9044,31.3906,active,,אשכולות
19,Beit El,בית אל,Settlement,Peace Now + B'Tselem,Beit El,Community,13.5,860.0,1977.0,18.0,3574.0,35.2225,31.9417,active,,בית אל
20,Beit Al-Baraka,בית אלברכה,Settlement,Peace Now,Gush Etzion,,,,2015.0,1113.0,,,,active,,בית אלברכה
21,Beit Arye,בית אריה,Settlement,Peace Now + B'Tselem,Beit Arye,Urban,3.8,345.0,1981.0,19.0,3652.0,35.0506,32.0361,active,,בית אריה
