settlement_id,name_en,name_he,type,source,regional_council,urban_pattern,dist_gl_km,elevation,year_established,pn_db_id,bt_gisid,lon,lat,status,cbs_semel,he_join_key,latest_pop,latest_pop_year,first_pop_year,pop_2024,peak_pop,peak_year,cagr_pct,decline_from_peak_pct,trajectory,se_cluster,se_rank,se_index,built_up_dunams
1,Avnei Hefetz,אבני חפץ,Settlement,Peace Now + B'Tselem,Shomron,Urban,4.2,200.0,1990.0,1.0,3793.0,35.0734,32.2859,active,3793.0,אבני חפץ,2536.0,2024.0,1969.0,2536.0,2536.0,2024.0,9.62,0.0,Successful (fast growth),,,,321.0
2,Ovnat,אבנת,Settlement,Peace Now + B'Tselem,Megilot,Community,21.0,-330.0,1983.0,2.0,3786.0,35.436,31.6788,active,,אבנת,286.0,2024.0,1969.0,286.0,286.0,2024.0,7.26,0.0,Successful (fast growth),,,,36.1
3,Adora,אדורה,Settlement,Peace Now + B'Tselem,Har Hebron,Community,6.4,650.0,1984.0,3.0,3759.0,35.0165,31.5518,active,3759.0,אדורה,541.0,2024.0,1969.0,541.0,541.0,2024.0,3.9,0.0,Surviving (slow growth),,,,99.9
4,Oranit,אורנית,Settlement,Peace Now + B'Tselem,Oranit,Urban,0.0,140.0,1985.0,4.0,3760.0,34.9909,32.1305,active,3760.0,אורנית,9397.0,2024.0,1969.0,9397.0,10055.0,2023.0,9.96,-6.54,Declining,8.0,230.0,1.34192275451799,1267.3
5,Itamar,איתמר,Settlement,Peace Now + B'Tselem,Shomron,Community,28.0,660.0,1984.0,5.0,3762.0,35.3023,32.1761,active,3762.0,איתמר,1596.0,2024.0,1969.0,1596.0,1670.0,2023.0,6.17,-4.43,Successful (fast growth),,,,854.0
6,Alon,אלון,Settlement,Peace Now + B'Tselem,Binyamin,Community,12.6,,1990.0,6.0,,35.3527341,31.8330401,active,3898.0,אלון,0.0,2007.0,1982.0,,0.0,1982.0,,,Insufficient data,,,,179.7
7,Elon More,אלון מורה,Settlement,Peace Now + B'Tselem,Shomron,Community,22.0,635.0,1979.0,7.0,3579.0,35.3334,32.2331,active,3579.0,אלון מורה,2111.0,2024.0,1969.0,2111.0,2161.0,2023.0,3.82,-2.31,Surviving (slow growth),,,,
8,Alon Shvut,אלון שבות,Settlement,Peace Now + B'Tselem,Gush Etzion,Community,4.6,965.0,1970.0,8.0,3604.0,35.1245,31.6553,active,3604.0,אלון שבות,2967.0,2024.0,1969.0,2967.0,3330.0,2006.0,2.18,-10.9,Declining,,,,481.7
9,Almog,אלמוג,Settlement,Peace Now + B'Tselem,Megilot,Kibbutz,20.6,-270.0,1977.0,9.0,3556.0,35.4604,31.7895,active,3556.0,אלמוג,264.0,2024.0,1982.0,264.0,306.0,2023.0,3.81,-13.73,Declining,,,,101.8
10,Elmatan,אלמתן,Settlement,Peace Now,Shomron,,,,,228.0,,,,active,,אלמתן,,,,,,,,,Insufficient data,,,,
11,El'azar,אלעזר,Settlement,Peace Now + B'Tselem,Gush Etzion,Community,5.5,910.0,1975.0,10.0,3618.0,35.1419,31.6598,active,3618.0,אלעזר,2712.0,2024.0,1969.0,2712.0,2712.0,2024.0,7.63,0.0,Successful (fast growth),,,,329.3
12,Alfei Menashe,אלפי מנשה,Settlement,Peace Now + B'Tselem,Alfei Menashe,Urban,2.8,200.0,1983.0,11.0,3750.0,35.0127,32.173,active,3750.0,אלפי מנשה,8000.0,2024.0,1969.0,8000.0,8126.0,2023.0,4.85,-1.55,Surviving (slow growth),8.0,219.0,1.14168078798777,
13,Elkana,אלקנה,Settlement,Peace Now + B'Tselem,Elkana,Urban,3.1,270.0,1977.0,12.0,3560.0,35.0342,32.1115,active,3560.0,אלקנה,4453.0,2024.0,1969.0,4453.0,4453.0,2024.0,4.69,0.0,Surviving (slow growth),8.0,209.0,1.07334368834655,924.7
14,Asfar,אספר (מיצד),Settlement,Peace Now + B'Tselem,Gush Etzion,Community,14.5,940.0,1983.0,13.0,3754.0,35.1889,31.5866,active,,אספר מיצד,1394.0,2024.0,1969.0,1394.0,1394.0,2024.0,5.69,0.0,Surviving (slow growth),,,,136.3
15,Efrat,אפרת,Settlement,Peace Now + B'Tselem,Efrata,Community,6.5,910.0,1980.0,14.0,3650.0,35.1549,31.6607,active,3650.0,אפרת,11940.0,2024.0,1969.0,11940.0,12300.0,2023.0,10.4,-2.93,Successful (fast growth),7.0,171.0,0.514601509868647,
16,Argaman,ארגמן,Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav,23.7,-180.0,1968.0,15.0,3598.0,35.5221,32.172,active,3598.0,ארגמן,141.0,2024.0,1982.0,141.0,170.0,2007.0,0.84,-17.06,Declining,,,,
17,Ariel,אריאל,Settlement,Peace Now + B'Tselem,Ariel,Urban,16.1,560.0,1978.0,16.0,3570.0,35.1871,32.1045,active,3570.0,אריאל,21004.0,2024.0,1969.0,21004.0,21841.0,2023.0,8.04,-3.83,Successful (fast growth),6.0,151.0,0.22708756891988,2566.4
