knesset,name_he,cbs_semel,valid_votes,eligible,voters,right_bloc_votes,right_bloc_share,top_party,top_party_share,turnout,he_join_key,settlement_id
18,מעטפות כפולות,0,184391,186919,186919,119014,0.6454436496358282,מחל,0.25166629607735735,1.0,מעטפות כפולות,
18,שחר,7,283,391,283,228,0.8056537102473498,כן,0.4275618374558304,0.7237851662404092,שחר,
18,תירוש,10,176,276,179,169,0.9602272727272727,שס,0.48295454545454547,0.6485507246376812,תירוש,
18,"ניר ח""ן",11,198,318,198,122,0.6161616161616161,מחל,0.29292929292929293,0.6226415094339622,ניר ח ן,
18,חצבה,13,307,431,308,177,0.5765472312703583,כן,0.4169381107491857,0.7146171693735499,חצבה,
18,נועם,15,195,304,198,184,0.9435897435897436,מחל,0.4461538461538462,0.6513157894736842,נועם,
18,בית ניר,16,171,236,171,49,0.28654970760233917,מרצ,0.4444444444444444,0.7245762711864406,בית ניר,
18,שדה משה,18,248,327,249,145,0.5846774193548387,כן,0.38306451612903225,0.7614678899082569,שדה משה,
18,מקווה ישראל,22,124,188,127,68,0.5483870967741935,אמת,0.28225806451612906,0.675531914893617,מקווה ישראל,
18,אמציה,23,192,258,192,175,0.9114583333333334,ט,0.5052083333333334,0.7441860465116279,אמציה,
18,לכיש,24,332,402,334,137,0.4126506024096386,אמת,0.37650602409638556,0.8308457711442786,לכיש,
18,ראש פינה,26,1310,1954,1323,815,0.6221374045801527,כן,0.3656488549618321,0.6770726714431935,ראש פינה,
18,שדות מיכה,27,160,252,162,116,0.725,שס,0.39375,0.6428571428571429,שדות מיכה,
18,מזכרת בתיה,28,4752,6707,4791,3284,0.6910774410774411,כן,0.3587962962962963,0.7143283137021023,מזכרת בתיה,
18,יסוד המעלה,29,670,989,678,441,0.6582089552238806,כן,0.3940298507462687,0.6855409504550051,יסוד המעלה,
18,אופקים,31,10027,17314,10177,7410,0.7390046873441707,מחל,0.25291712376583225,0.5877902275615109,אופקים,
18,עוצם,32,255,382,256,239,0.9372549019607843,שס,0.6352941176470588,0.6701570680628273,עוצם,
18,בת שלמה,33,237,330,239,152,0.6413502109704642,כן,0.37130801687763715,0.7242424242424242,בת שלמה,
18,גדות,35,224,393,225,96,0.42857142857142855,כן,0.375,0.5725190839694656,גדות,
18,שדה דוד,36,190,305,192,163,0.8578947368421053,מחל,0.4842105263157895,0.6295081967213115,שדה דוד,
18,איתן,37,193,277,196,182,0.9430051813471503,שס,0.48704663212435234,0.7075812274368231,איתן,
18,גפן,39,165,233,167,146,0.8848484848484849,מחל,0.5636363636363636,0.7167381974248928,גפן,
18,אליכין,41,1456,2081,1467,1198,0.8228021978021978,מחל,0.3001373626373626,0.7049495434887073,אליכין,
18,מטולה,43,769,1224,773,487,0.6332899869960988,כן,0.4213263979193758,0.6315359477124183,מטולה,
18,זוהר,44,195,284,197,167,0.8564102564102564,שס,0.3282051282051282,0.6936619718309859,זוהר,
18,יבנאל,46,1363,2025,1379,1137,0.8341892883345561,שס,0.35509904622157007,0.6809876543209876,יבנאל,
18,כפר תבור,47,1457,2071,1463,916,0.6286890871654084,כן,0.3795470144131778,0.7064220183486238,כפר תבור,
18,מנחמיה,48,522,891,525,395,0.7567049808429118,מחל,0.3448275862068966,0.5892255892255892,מנחמיה,
18,אילניה,49,256,384,257,184,0.71875,כן,0.3515625,0.6692708333333334,אילניה,
18,לוזית,52,134,232,134,98,0.7313432835820896,שס,0.44029850746268656,0.5775862068965517,לוזית,
18,עתלית,53,2443,3843,2475,1774,0.7261563651248465,כן,0.3102742529676627,0.6440281030444965,עתלית,
18,נוגה,55,176,317,176,99,0.5625,מחל,0.3806818181818182,0.555205047318612,נוגה,
18,כנרת (קבוצה),57,392,581,393,174,0.44387755102040816,אמת,0.44387755102040816,0.6764199655765921,כנרת קבוצה,
18,מצפה,58,91,135,91,67,0.7362637362637363,כן,0.43956043956043955,0.674074074074074,מצפה,
18,נחושה,59,127,178,127,117,0.9212598425196851,שס,0.36220472440944884,0.7134831460674157,נחושה,
18,דגניה א',62,332,488,334,140,0.42168674698795183,אמת,0.4608433734939759,0.6844262295081968,דגניה א,
18,כנרת (מושבה),63,279,395,282,176,0.6308243727598566,כן,0.34050179211469533,0.7139240506329114,כנרת מושבה,
18,"יד רמב""ם",64,485,679,487,413,0.8515463917525773,מחל,0.4061855670103093,0.7172312223858616,יד רמב ם,
18,מגדל,65,618,1056,619,507,0.8203883495145631,מחל,0.3106796116504854,0.5861742424242424,מגדל,
18,מרחביה (קיבוץ),66,408,579,410,194,0.47549019607843135,כן,0.38480392156862747,0.7081174438687392,מרחביה קיבוץ,
18,אור הנר,67,281,407,283,155,0.5516014234875445,כן,0.47330960854092524,0.6953316953316954,אור הנר,
18,ניר עוז,69,234,315,235,101,0.43162393162393164,כן,0.41452991452991456,0.746031746031746,ניר עוז,
18,אשדוד,70,94776,156977,96363,63011,0.6648413100362961,סמל קלפי,0.3814889845530514,0.6138669996241488,אשדוד,
18,אשבול,71,149,214,149,85,0.5704697986577181,אמת,0.35570469798657717,0.6962616822429907,אשבול,
18,גן שמואל,72,607,820,608,151,0.2487644151565074,מרצ,0.5238879736408567,0.7414634146341463,גן שמואל,
18,עין הוד,74,236,345,236,112,0.4745762711864407,כן,0.3813559322033898,0.6840579710144927,עין הוד,
18,כפר גלעדי,76,345,558,350,148,0.4289855072463768,אמת,0.4318840579710145,0.6272401433691757,כפר גלעדי,
18,איילת השחר,77,534,792,536,271,0.5074906367041199,כן,0.36704119850187267,0.6767676767676768,איילת השחר,
18,קרית ענבים,78,207,278,208,77,0.3719806763285024,אמת,0.33816425120772947,0.7482014388489209,קרית ענבים,
18,דגניה ב',79,306,441,308,117,0.38235294117647056,אמת,0.46078431372549017,0.6984126984126984,דגניה ב,
18,נהלל,80,443,607,445,271,0.6117381489841986,כן,0.45598194130925507,0.7331136738056013,נהלל,
18,עין חרוד (מאוחד),82,473,670,475,188,0.3974630021141649,אמת,0.44608879492600423,0.7089552238805971,עין חרוד מאוחד,
18,תל יוסף,84,249,361,250,112,0.4497991967871486,אמת,0.39759036144578314,0.6925207756232687,תל יוסף,
18,כפר יחזקאל,85,436,541,437,241,0.5527522935779816,כן,0.42660550458715596,0.8077634011090573,כפר יחזקאל,
18,גבע,86,371,477,371,140,0.37735849056603776,אמת,0.4743935309973046,0.7777777777777778,גבע,
18,עין חרוד (איחוד),89,384,543,387,191,0.4973958333333333,כן,0.4114583333333333,0.712707182320442,עין חרוד איחוד,
18,חפצי-בה,90,258,381,259,88,0.34108527131782945,אמת,0.5077519379844961,0.6797900262467191,חפצי בה,
18,גיניגר,92,296,441,299,104,0.35135135135135137,אמת,0.42905405405405406,0.6780045351473923,גיניגר,
18,בלפוריה,94,176,243,177,105,0.5965909090909091,כן,0.3806818181818182,0.7283950617283951,בלפוריה,
18,בית אלפא,95,356,537,358,103,0.2893258426966292,מרצ,0.3707865168539326,0.6666666666666666,בית אלפא,
18,יגור,96,866,1223,871,254,0.29330254041570436,אמת,0.5519630484988453,0.7121831561733443,יגור,
18,מרחביה (מושב),97,387,500,388,228,0.5891472868217055,כן,0.37209302325581395,0.776,מרחביה מושב,
18,"כפר מל""ל",98,222,283,222,131,0.5900900900900901,כן,0.4189189189189189,0.784452296819788,כפר מל ל,
18,מצפה רמון,99,1840,3359,1889,1120,0.6086956521739131,מחל,0.23641304347826086,0.5623697529026496,מצפה רמון,
18,מאיר שפיה,102,40,95,40,20,0.5,כן,0.375,0.42105263157894735,מאיר שפיה,
18,תל עדשים,103,455,560,460,289,0.6351648351648351,כן,0.35384615384615387,0.8214285714285714,תל עדשים,
18,מזרע,104,465,665,467,137,0.2946236559139785,מרצ,0.34408602150537637,0.7022556390977444,מזרע,
18,כפר גדעון,106,99,146,99,91,0.9191919191919192,שס,0.32323232323232326,0.678082191780822,כפר גדעון,
18,כפר סילבר,107,61,98,61,36,0.5901639344262295,כן,0.3442622950819672,0.6224489795918368,כפר סילבר,
18,כפר חסידים א',112,357,484,363,283,0.7927170868347339,כן,0.2661064425770308,0.75,כפר חסידים א,
18,אדירים,113,153,196,154,136,0.8888888888888888,שס,0.4444444444444444,0.7857142857142857,אדירים,
18,חופית,115,512,692,515,284,0.5546875,כן,0.4609375,0.7442196531791907,חופית,
18,רמת ישי,122,3249,4469,3256,2206,0.6789781471221914,כן,0.4155124653739612,0.7285746251957932,רמת ישי,
18,שריד,126,420,628,422,158,0.3761904761904762,כן,0.34285714285714286,0.6719745222929936,שריד,
18,רמת רחל,127,223,311,226,110,0.49327354260089684,כן,0.36771300448430494,0.7266881028938906,רמת רחל,
18,גת רימון,128,131,178,133,84,0.6412213740458015,כן,0.4351145038167939,0.7471910112359551,גת רימון,
18,משמר העמק,130,591,801,592,204,0.34517766497461927,כן,0.3299492385786802,0.7390761548064919,משמר העמק,
18,כפר ברוך,132,175,251,177,119,0.68,כן,0.44571428571428573,0.7051792828685259,כפר ברוך,
18,גבת,133,463,610,465,181,0.39092872570194387,אמת,0.48812095032397407,0.7622950819672131,גבת,
18,יפעת,134,456,662,461,156,0.34210526315789475,אמת,0.48026315789473684,0.6963746223564955,יפעת,
18,רמת דוד,135,236,388,238,107,0.4533898305084746,אמת,0.3771186440677966,0.6134020618556701,רמת דוד,
18,עין שמר,139,410,592,415,145,0.35365853658536583,מרצ,0.4097560975609756,0.7010135135135135,עין שמר,
18,כפר יהושע,140,454,562,457,222,0.4889867841409692,כן,0.4052863436123348,0.8131672597864769,כפר יהושע,
18,ברק,141,165,250,165,108,0.6545454545454545,כן,0.4,0.66,ברק,
18,שדה יעקב,142,330,402,330,286,0.8666666666666667,ב,0.4212121212121212,0.8208955223880597,שדה יעקב,
18,בית זרע,143,377,569,378,130,0.3448275862068966,מרצ,0.33156498673740054,0.664323374340949,בית זרע,
18,גן שלמה,144,277,368,278,119,0.4296028880866426,כן,0.37906137184115524,0.7554347826086957,גן שלמה,
18,גדיש,145,172,265,174,150,0.872093023255814,מחל,0.4418604651162791,0.6566037735849056,גדיש,
18,דבורה,146,141,234,141,95,0.6737588652482269,כן,0.40425531914893614,0.6025641025641025,דבורה,
18,גבעת ברנר,147,885,1312,894,271,0.30621468926553674,אמת,0.4768361581920904,0.6814024390243902,גבעת ברנר,
18,תל מונד,154,4852,6768,4890,3523,0.7260923330585326,כן,0.39550700741962075,0.7225177304964538,תל מונד,
18,באר טוביה,155,456,563,456,203,0.4451754385964912,אמת,0.4166666666666667,0.8099467140319716,באר טוביה,
18,עיינות,156,34,65,34,15,0.4411764705882353,כן,0.29411764705882354,0.5230769230769231,עיינות,
18,עין ורד,157,650,818,656,338,0.52,כן,0.43538461538461537,0.8019559902200489,עין ורד,
18,נען,158,782,1097,788,279,0.3567774936061381,אמת,0.4884910485933504,0.7183226982680037,נען,
18,בית חנן,159,353,473,355,212,0.6005665722379604,כן,0.47592067988668557,0.7505285412262156,בית חנן,
18,חולדה,160,210,289,210,107,0.5095238095238095,כן,0.38571428571428573,0.726643598615917,חולדה,
18,חירות,162,652,774,656,340,0.5214723926380368,כן,0.43098159509202455,0.8475452196382429,חירות,
18,תימורים,163,399,536,399,252,0.631578947368421,כן,0.5263157894736842,0.7444029850746269,תימורים,
18,מלאה,164,167,224,167,142,0.8502994011976048,מחל,0.39520958083832336,0.7455357142857143,מלאה,
18,ניר יפה,165,212,342,213,139,0.6556603773584906,כן,0.4056603773584906,0.6228070175438597,ניר יפה,
18,גן יבנה,166,7832,11117,7902,5865,0.7488508682328907,כן,0.3089887640449438,0.7108032742646397,גן יבנה,
18,עין החורש,167,507,654,507,116,0.22879684418145957,מרצ,0.4358974358974359,0.7752293577981652,עין החורש,
18,כפר יונה,168,7039,10790,7117,5320,0.7557891745986646,כן,0.3743429464412559,0.6595922150139018,כפר יונה,
18,כפר יעבץ,170,322,458,328,281,0.8726708074534162,מחל,0.39751552795031053,0.7161572052401747,כפר יעבץ,
18,פרדסיה,171,3266,4432,3286,2400,0.7348438456827924,כן,0.4402939375382731,0.7414259927797834,פרדסיה,
18,גבעת חיים (מאוחד),173,621,853,624,236,0.38003220611916266,אמת,0.4557165861513688,0.731535756154748,גבעת חיים מאוחד,
18,נטעים,174,301,381,301,174,0.5780730897009967,כן,0.3488372093023256,0.7900262467191601,נטעים,
18,אביחיל,175,671,884,675,361,0.5380029806259314,כן,0.3770491803278688,0.7635746606334841,אביחיל,
18,אפיקים,176,678,1011,688,207,0.3053097345132743,אמת,0.5206489675516224,0.6805143422354105,אפיקים,
18,"כפר ביל""ו",177,596,763,601,309,0.5184563758389261,כן,0.3775167785234899,0.7876802096985583,כפר ביל ו,
18,רמת יוחנן,178,467,681,469,144,0.3083511777301927,אמת,0.5096359743040685,0.6886930983847284,רמת יוחנן,
18,אבן יהודה,182,5319,7508,5352,3612,0.6790750141003948,כן,0.39631509682271104,0.7128396377197656,אבן יהודה,
18,ירקונה,183,202,257,203,119,0.5891089108910891,כן,0.4504950495049505,0.7898832684824902,ירקונה,
18,רמת הכובש,184,429,579,430,190,0.4428904428904429,כן,0.3986013986013986,0.7426597582037997,רמת הכובש,
18,נעורים,186,57,127,58,38,0.6666666666666666,כן,0.5087719298245614,0.4566929133858268,נעורים,
18,כפר הס,187,645,825,647,329,0.5100775193798449,כן,0.4170542635658915,0.7842424242424243,כפר הס,
18,אשדות יעקב  (מאוח,188,248,389,248,92,0.3709677419354839,אמת,0.5080645161290323,0.6375321336760925,אשדות יעקב מאוח,
18,כפר פינס,189,259,306,261,243,0.9382239382239382,ב,0.5096525096525096,0.8529411764705882,כפר פינס,
18,כפר ויתקין,190,902,1183,906,472,0.5232815964523282,כן,0.442350332594235,0.7658495350803043,כפר ויתקין,
18,הדר עם,191,293,390,295,176,0.6006825938566553,כן,0.4709897610921502,0.7564102564102564,הדר עם,
18,כפר החורש,192,295,407,298,115,0.3898305084745763,אמת,0.34576271186440677,0.7321867321867321,כפר החורש,
18,כפר חיים,193,316,413,318,159,0.5031645569620253,כן,0.370253164556962,0.7699757869249395,כפר חיים,
18,משמר השרון,194,289,445,291,58,0.20069204152249134,אמת,0.6920415224913494,0.6539325842696629,משמר השרון,
18,קדימה-צורן,195,7541,10626,7615,5381,0.7135658400742607,כן,0.39146001856517704,0.7166384340297384,קדימה צורן,
18,גיבתון,196,173,221,173,92,0.5317919075144508,כן,0.3352601156069364,0.7828054298642534,גיבתון,
18,מעברות,197,549,721,554,182,0.331511839708561,מרצ,0.47176684881602915,0.768377253814147,מעברות,
18,צופית,198,548,694,550,283,0.5164233576642335,כן,0.3905109489051095,0.792507204610951,צופית,
18,אשדות יעקב  (איחו,199,320,464,322,150,0.46875,אמת,0.4125,0.6939655172413793,אשדות יעקב איחו,
18,בית ינאי,200,186,281,190,99,0.532258064516129,כן,0.46236559139784944,0.6761565836298933,בית ינאי,
18,בית עובד,202,191,259,192,105,0.5497382198952879,כן,0.43455497382198954,0.7413127413127413,בית עובד,
